
,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced
34,34,UTA,C.J. Miles,,10,555,11117,5125,1277,680,.416,.345,.805,20.0,9.2,2.3,1.2,17.8,.077
35,35,POR,Ricky Sanchez,,,,,,,,,,,,,,,,
36,36,MIL,Ersan Ilyasova,,7,432,10247,4532,2617,477,.445,.364,.783,23.7,10.5,6.1,1.1,27.1,.127
37,37,LAL,Ronny Turiaf,Gonzaga University,10,473,8020,2209,1757,618,.533,.000,.636,17.0,4.7,3.7,1.3,19.3,.115
38,38,ORL,Travis Diener,Marquette University,5,179,2660,854,243,432,.388,.353,.847,14.9,4.8,1.4,2.4,5.6,.102
39,39,LAL,Von Wafer,Florida State University,6,200,2475,1054,234,146,.420,.325,.751,12.4,5.3,1.2,0.7,3.3,.064
40,40,GSW,Monta Ellis,,10,662,23738,12812,2360,3186,.454,.317,.776,35.9,19.4,3.6,4.8,36.6,.074
41,41,TOR,Roko Ukic,,2,85,987,341,78,165,.387,.189,.746,11.6,4.0,0.9,1.9,-0.2,-0.007
42,42,GSW,Chris Taft,University of Pittsburgh,1,17,144,47,36,2,.605,,.167,8.5,2.8,2.1,0.1,0.5,.155
43,43,NJN,Mile Ilic,,1,5,6,0,1,0,.000,,,1.2,0.0,0.2,0.0,-0.2,-1.264
44,44,ORL,Martynas Andriuskevicius,,1,6,9,0,4,0,.000,,,1.5,0.0,0.7,0.0,0.0,.155
45,45,PHI,Louis Williams,,10,615,14028,7267,1231,1824,.416,.341,.815,22.8,11.8,2.0,3.0,35.4,.121
46,46,IND,Erazem Lorbek,,,,,,,,,,,,,,,,
47,47,MIN,Bracey Wright,Indiana University,2,26,325,129,39,20,.405,.324,.794,12.5,5.0,1.5,0.8,0.5,.068
48,48,SEA,Mickael Gelabale,,3,145,2348,670,330,115,.470,.316,.815,16.2,4.6,2.3,0.8,3.0,.062
49,49,WAS,Andray Blatche,,9,564,12462,5706,3024,798,.467,.237,.725,22.1,10.1,5.4,1.4,19.2,.074
50,50,BOS,Ryan Gomes,Providence College,8,487,13463,4926,2239,712,.445,.349,.799,27.6,10.1,4.6,1.5,19.4,.069
51,51,UTA,Robert Whaley,Walsh University,1,23,212,49,43,17,.404,,.500,9.2,2.1,1.9,0.7,0.0,.004
52,52,DEN,Axel Hervelle,,,,,,,,,,,,,,,,
53,53,BOS,Orien Greene,University of Louisiana at Lafayette,4,131,1555,326,195,155,.387,.212,.642,11.9,2.5,1.5,1.2,-0.7,-0.022
54,54,NYK,Dijon Thompson,University of California Los Angeles,2,16,93,45,19,3,.425,.308,.875,5.8,2.8,1.2,0.2,0.2,.102
55,55,SEA,Lawrence Roberts,Mississippi State University,2,87,1150,334,310,35,.452,.000,.688,13.2,3.8,3.6,0.4,2.5,.106
56,56,DET,Amir Johnson,,10,570,12798,4320,3230,585,.574,.333,.691,22.5,7.6,5.7,1.0,38.2,.143
57,57,PHO,Marcin Gortat,,8,500,12432,4864,3757,440,.546,.176,.677,24.9,9.7,7.5,0.9,37.8,.146
58,58,TOR,Uros Slokar,,1,20,72,38,14,1,.538,.500,.692,3.6,1.9,0.7,0.1,0.1,.042
59,59,ATL,Cenk Akyol,,,,,,,,,,,,,,,,
60,60,DET,Alex Acker,Pepperdine University,2,30,234,81,29,16,.370,.320,.500,7.8,2.7,1.0,0.5,-0.2,-0.043
