
,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced
43,43,LAL,Devin Ebanks,West Virginia University,3,63,711,224,122,24,.385,.222,.722,11.3,3.6,1.9,0.4,0.5,.035
44,44,MIL,Jerome Jordan,University of Tulsa,2,59,462,170,125,17,.537,,.833,7.8,2.9,2.1,0.3,1.7,.173
45,45,MIN,Paulao Prestes,,,,,,,,,,,,,,,,
46,46,PHO,Gani Lawal,Georgia Institute of Technology,1,1,2,0,0,0,,,,2.0,0.0,0.0,0.0,0.0,-0.009
47,47,MIL,Tiny Gallon,University of Oklahoma,,,,,,,,,,,,,,,
48,48,MIA,Latavious Williams,,,,,,,,,,,,,,,,
49,49,SAS,Ryan Richards,,,,,,,,,,,,,,,,
50,50,DAL,Solomon Alabi,Florida State University,2,26,181,39,61,5,.314,,.700,7.0,1.5,2.3,0.2,0.0,.010
51,51,OKC,Magnum Rolle,Louisiana Tech University,,,,,,,,,,,,,,,
52,52,BOS,Luke Harangody,University of Notre Dame,2,70,871,253,196,36,.376,.241,.737,12.4,3.6,2.8,0.5,0.9,.048
53,53,ATL,Pape Sy,,1,3,21,7,3,2,.333,.000,1.000,7.0,2.3,1.0,0.7,0.0,-0.047
54,54,LAC,Willie Warren,University of Oklahoma,1,19,134,37,12,27,.371,.333,.750,7.1,1.9,0.6,1.4,0.2,.065
55,55,UTA,Jeremy Evans,Western Kentucky University,5,205,2235,752,553,99,.570,.143,.657,10.9,3.7,2.7,0.5,6.8,.145
56,56,MIN,Hamady N'Diaye,Rutgers University,3,33,157,20,25,3,.467,,.462,4.8,0.6,0.8,0.1,0.0,.013
57,57,IND,Ryan Reid,Florida State University,1,5,17,8,2,0,.800,,,3.4,1.6,0.4,0.0,0.1,.142
58,58,LAL,Derrick Caracter,University of Texas at El Paso,1,41,215,81,43,7,.485,,.739,5.2,2.0,1.0,0.2,0.3,.057
59,59,ORL,Stanley Robinson,University of Connecticut,,,,,,,,,,,,,,,
60,60,PHO,Dwayne Collins,University of Miami,,,,,,,,,,,,,,,
