
,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
1,1,NOH,Anthony Davis,University of Kentucky,3,181,5980,3477,1714,252,.527,.125,.795,33.0,19.2,9.5,1.4,27.0,.216
2,2,CHA,Michael Kidd-Gilchrist,University of Kentucky,3,184,4752,1625,1115,236,.465,.167,.681,25.8,8.8,6.1,1.3,8.3,.084
3,3,WAS,Bradley Beal,University of Florida,3,174,5779,2698,656,516,.416,.402,.791,33.2,15.5,3.8,3.0,9.6,.080
4,4,CLE,Dion Waiters,Syracuse University,3,191,5370,2656,472,508,.415,.322,.714,28.1,13.9,2.5,2.7,3.1,.027
5,5,SAC,Thomas Robinson,University of Kansas,3,178,2421,838,805,94,.461,.000,.529,13.6,4.7,4.5,0.5,2.3,.046
6,6,POR,Damian Lillard,Weber State University,3,224,8279,4529,835,1356,.428,.369,.860,37.0,20.2,3.7,6.1,23.9,.139
7,7,GSW,Harrison Barnes,University of North Carolina,3,219,6015,2103,989,300,.438,.378,.729,27.5,9.6,4.5,1.4,11.2,.090
8,8,TOR,Terrence Ross,University of Washington,3,216,4969,1958,582,198,.414,.372,.799,23.0,9.1,2.7,0.9,6.9,.066
9,9,DET,Andre Drummond,University of Connecticut,3,202,5700,2358,2330,102,.574,.200,.398,28.2,11.7,11.5,0.5,19.4,.164
10,10,NOH,Austin Rivers,Duke University,3,187,3948,1292,349,411,.389,.325,.621,21.1,6.9,1.9,2.2,0.3,.003
11,11,POR,Meyers Leonard,University of Illinois at Urbana-Champaign,3,147,2111,687,517,68,.522,.419,.820,14.4,4.7,3.5,0.5,5.1,.117
12,12,HOU,Jeremy Lamb,University of Connecticut,3,140,2263,1007,303,162,.423,.355,.860,16.2,7.2,2.2,1.2,5.1,.109
13,13,PHO,Kendall Marshall,University of North Carolina,3,130,2683,691,225,706,.405,.377,.593,20.6,5.3,1.7,5.4,1.5,.028
14,14,MIL,John Henson,University of North Carolina,3,179,3516,1499,995,186,.531,.000,.556,19.6,8.4,5.6,1.0,7.8,.106
15,15,PHI,Maurice Harkless,St. John's University,3,186,4340,1311,659,149,.457,.313,.593,23.3,7.0,3.5,0.8,5.5,.061
16,16,HOU,Royce White,Iowa State University,1,3,9,0,0,0,.000,,,3.0,0.0,0.0,0.0,0.0,-0.121
17,17,DAL,Tyler Zeller,University of North Carolina,3,207,4336,1592,1058,213,.496,.000,.770,20.9,7.7,5.1,1.0,9.1,.101
18,18,HOU,Terrence Jones,University of Kentucky,3,114,2883,1268,725,122,.534,.305,.621,25.3,11.1,6.4,1.1,10.0,.167
19,19,ORL,Andrew Nicholson,St. Bonaventure University,3,175,2678,1124,554,79,.474,.333,.788,15.3,6.4,3.2,0.5,2.3,.042
20,20,DEN,Evan Fournier,,3,170,3546,1509,382,274,.436,.378,.739,20.9,8.9,2.2,1.6,4.2,.058
21,21,BOS,Jared Sullinger,Ohio State University,3,170,4395,1987,1280,276,.443,.277,.764,25.9,11.7,7.5,1.6,10.4,.114
22,22,BOS,Fab Melo,Syracuse University,1,6,36,7,3,0,.500,,.250,6.0,1.2,0.5,0.0,0.0,.021
23,23,ATL,John Jenkins,Vanderbilt University,3,86,1169,461,134,68,.446,.379,.859,13.6,5.4,1.6,0.8,1.8,.075
24,24,CLE,Jared Cunningham,Oregon State University,3,40,195,77,18,19,.353,.304,.710,4.9,1.9,0.5,0.5,0.1,.023
25,25,MEM,Tony Wroten,University of Washington,3,137,2932,1537,342,417,.416,.234,.654,21.4,11.2,2.5,3.0,-0.6,-0.010
26,26,IND,Miles Plumlee,Duke University,3,153,3076,907,933,76,.515,,.551,20.1,5.9,6.1,0.5,6.2,.096
27,27,MIA,Arnett Moultrie,Mississippi State University,2,59,729,210,180,12,.547,,.667,12.4,3.6,3.1,0.2,1.7,.113
28,28,OKC,Perry Jones,Baylor University,3,135,1607,470,246,50,.427,.302,.670,11.9,3.5,1.8,0.4,1.8,.054
29,29,CHI,Marquis Teague,University of Kentucky,2,88,835,206,84,121,.349,.220,.686,9.5,2.3,1.0,1.4,-0.8,-0.046
30,30,GSW,Festus Ezeli,Vanderbilt University,2,105,1415,308,395,27,.476,,.569,13.5,2.9,3.8,0.3,2.3,.076
,,,Round 2,Round 2,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
31,31,CHA,Jeff Taylor,Vanderbilt University,3,117,2270,735,229,93,.414,.324,.659,19.4,6.3,2.0,0.8,1.2,.026
32,32,WAS,Tomas Satoransky,,,,,,,,,,,,,,,,
33,33,CLE,Bernard James,Florida State University,3,83,699,183,197,13,.507,.000,.641,8.4,2.2,2.4,0.2,1.7,.117
34,34,CLE,Jae Crowder,Marquette University,3,217,3680,1144,564,215,.418,.329,.699,17.0,5.3,2.6,1.0,6.3,.082
35,35,GSW,Draymond Green,Michigan State University,3,221,4796,1424,1168,424,.406,.321,.685,21.7,6.4,5.3,1.9,11.8,.118
36,36,SAC,Orlando Johnson,University of California Santa Barbara,2,96,1011,303,165,67,.369,.319,.724,10.5,3.2,1.7,0.7,1.5,.074
37,37,TOR,Quincy Acy,Baylor University,3,143,2165,565,525,88,.486,.294,.727,15.1,4.0,3.7,0.6,3.6,.081
38,38,DEN,Quincy Miller,Baylor University,3,65,876,283,161,32,.357,.304,.706,13.5,4.4,2.5,0.5,0.0,.002
39,39,DET,Khris Middleton,Texas A&amp;M University,3,167,4560,1856,622,316,.451,.405,.858,27.3,11.1,3.7,1.9,8.7,.091
40,40,POR,Will Barton,University of Memphis,3,152,1800,659,291,134,.402,.229,.768,11.8,4.3,1.9,0.9,0.8,.022
41,41,POR,Tyshawn Taylor,University of Kansas,2,61,491,174,33,57,.354,.360,.684,8.0,2.9,0.5,0.9,-0.9,-0.088
42,42,MIL,Doron Lamb,University of Kentucky,2,100,1272,345,95,75,.381,.394,.700,12.7,3.5,1.0,0.8,0.1,.005
43,43,ATL,Mike Scott,University of Virginia,3,179,2774,1397,551,143,.469,.331,.783,15.5,7.8,3.1,0.8,5.7,.099
44,44,DET,Kim English,University of Missouri,1,41,407,119,37,26,.375,.280,.724,9.9,2.9,0.9,0.6,0.2,.021
45,45,PHI,Justin Hamilton,Louisiana State University,2,32,361,92,55,12,.424,.321,.917,11.3,2.9,1.7,0.4,0.5,.072
46,46,NOH,Darius Miller,University of Kentucky,3,102,1460,320,131,89,.420,.351,.841,14.3,3.1,1.3,0.9,1.2,.040
47,47,UTA,Kevin Murphy,Tennessee Technological University,1,17,52,15,4,2,.250,.200,,3.1,0.9,0.2,0.1,-0.3,-0.272
48,48,NYK,Kostas Papanikolaou,,1,41,778,182,115,84,.354,.298,.722,19.0,4.4,2.8,2.0,0.6,.040
49,49,ORL,Kyle O'Quinn,Norfolk State University,3,169,2557,919,744,185,.503,.256,.704,15.1,5.4,4.4,1.1,5.3,.100
50,50,DEN,Izzet Turkyilmaz,,,,,,,,,,,,,,,,
51,51,BOS,Kris Joseph,Syracuse University,1,10,54,9,7,1,.143,.000,.625,5.4,0.9,0.7,0.1,-0.1,-0.127
52,52,GSW,Ognjen Kuzmic,,2,37,164,35,38,8,.520,,.600,4.4,0.9,1.0,0.2,0.2,.062
53,53,LAC,Furkan Aldemir,,1,24,249,37,90,14,.516,,.625,10.4,1.5,3.8,0.6,0.7,.134
54,54,PHI,Tornike Shengelia,,2,45,247,59,39,17,.451,.125,.500,5.5,1.3,0.9,0.4,-0.2,-0.032
55,55,DAL,Darius Johnson-Odom,Marquette University,2,7,21,0,6,2,.000,.000,.000,3.0,0.0,0.9,0.3,-0.3,-0.597
56,56,TOR,Tomislav Zubcic,,,,,,,,,,,,,,,,
57,57,NJN,Ilkan Karaman,,,,,,,,,,,,,,,,
58,58,MIN,Robbie Hummel,Purdue University,2,89,1194,332,231,45,.423,.349,.850,13.4,3.7,2.6,0.5,2.0,.080
59,59,SAS,Marcus Denmon,University of Missouri,,,,,,,,,,,,,,,
60,60,LAL,Robert Sacre,Gonzaga University,3,152,2201,640,475,100,.440,,.674,14.5,4.2,3.1,0.7,2.1,.046
